Settore Merceologico;Insegna;Ubicazione;Tipo Via;Via;Civico;Codice Via;ZD;Superficie vendita;Superficie altri usi;Superficie totale
"alimentare;non alimentare";;"PZA SIGMUND FREUD N. 1 interno staz.ffss porta garib.; isolato:259; (z.d. 9)";PZA;SIGMUND FREUD;1;1705;9;800;;900
"alimentare;non alimentare";;"VIA ADRIANO PUBLIO ELIO pii.marelli-cascina s.giuseppe num.000; (z.d. 7)";CSO;VERCELLI;20;6193;7;4413;;6500
"alimentare;non alimentare";;"VIA AMORETTI CARLO num.004/6; isolato:045; accesso: accesso esterno; (z.d. 8)";VIA;GRASSI GIOVANNI BATTISTA;98;7465;8;1000;;1564
"alimentare;non alimentare";;VIA ANTONINI GIACOMO N. 32 (z.d. 5);VIA;ANTONINI GIACOMO;32;4250;5;1499;;2273
"alimentare;non alimentare";;"VIA ARCO N. 2 aff. az. tacit. rinnov.;via arco 002; isolato:295; accesso: accesso esterno; (z.d. 1)";VIA;ARCO;2;714;1;364;;991
"alimentare;non alimentare";;"VIA BENADIR N. 5 ang. v. palmanova; isolato:288; accesso: accesso esterno; (z.d. 2)";VIA;BENADIR;5;2380;2;2500;;2500
"alimentare;non alimentare";;"VIA BIANCHI MOSE' N. 94 loc. interno; isolato:220; accesso: accesso interno; (z.d. 7)";VIA;BIANCHI MOSE';94;6385;7;271;;271
"alimentare;non alimentare";;"VIA BICOCCA DEGLI ARCIMBOLDI zona speciale z4-bicocca num.000; accesso: accesso esterno; (z.d. 9)";VIA;BICOCCA DEGLI ARCIMBOLDI;;1728;9;5500;;9796
"alimentare;non alimentare";;"VIA CHIOSTERGI GIUSEPPE N. 13 ; isolato:018; accesso: accesso esterno; (z.d. 7)";VIA;CHIOSTERGI GIUSEPPE;13;6850;7;536;100;636
"alimentare;non alimentare";;"VIA DON RODRIGO num.007; (z.d. 5)";VIA;DON RODRIGO;;5416;5;751;;1100
"alimentare;non alimentare";;"VIA GOZZOLI BENOZZO N. 130 lic. unitaria c.c. la torre; (z.d. 7)";VIA;GOZZOLI BENOZZO;130;6789;7;6000;2000;8000
"alimentare;non alimentare";;VIA GUINTELLINO GUGLIELMO N. 26 (z.d. 6);VIA;GUINTELLINO GUGLIELMO;26;5369;6;1491;;1491
"alimentare;non alimentare";;"VIA LOMBROSO CESARE N. 54 interno merc.ingros.ortofrutt.; isolato:091; accesso: accesso esterno; (z.d. 4)";VIA;LOMBROSO CESARE;54;3334;4;800;100;900
"alimentare;non alimentare";;VIA LORENTEGGIO N. 219 (z.d. 6);VIA;LORENTEGGIO;219;5132;6;4300;;7997
"alimentare;non alimentare";;VIA LORENTEGGIO N. 240 (z.d. 6);VIA;LORENTEGGIO;240;5132;6;1012;;1252
"alimentare;non alimentare";;"VIA LUDOVICO DI BREME N. 25 ; isolato:221; accesso: accesso esterno; (z.d. 8)";VIA;LUDOVICO DI BREME;25;7396;8;1035;;1445
"alimentare;non alimentare";;VIA MAGREGLIO N. 10 (z.d. 8);VIA;MAGREGLIO;10;7486;8;535;;820
"alimentare;non alimentare";;"VIA MARGHERA N. 36 ; isolato:212; accesso: accesso esterno; (z.d. 7)";VIA;MARGHERA;36;6280;7;314;;314
"alimentare;non alimentare";;"VIA MAURI ANGELO N. 5 ; isolato:240; (z.d. 7)";VIA;MAURI ANGELO;5;6296;7;1050;;1900
"alimentare;non alimentare";;"VIA MEDEGHINO N. 11 ; isolato:047; pto strada:1 ; accesso: accesso esterno; (z.d. 5)";VIA;MEDEGHINO;11;5335;5;939;;1637
"alimentare;non alimentare";;"VIA ORNATO LUIGI ang. via del regno italico num.000; (z.d. 9)";VLE;TESTI FULVIO;260;1441;9;4280;;5474
"alimentare;non alimentare";;"VIA PIRELLI GIOVANNI BATTISTA N. 30 ; isolato:297; accesso: accesso esterno; (z.d. 9)";VIA;PIRELLI GIOVANNI BATTISTA;30;1195;9;381;;381
"alimentare;non alimentare";;VIA PONTE VETERO N. 14 (z.d. 1);VIA;PONTE VETERO;14;718;1;300;;300
"alimentare;non alimentare";;"VIA RIPAMONTI GIUSEPPE N. 37 ; isolato:170; accesso: accesso esterno; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;37;4066;5;673;;1109
"alimentare;non alimentare";;"VIA SAPRI N. 83 ; isolato:145; accesso: accesso esterno; (z.d. 8)";VIA;SAPRI;83;7441;8;360;;360
"alimentare;non alimentare";;"VIA SARPI FRA' PAOLO N. 44 ; isolato:073; accesso: accesso esterno; (z.d. 8)";VIA;SARPI FRA' PAOLO;44;7210;8;252;;252
"alimentare;non alimentare";;"VIA VISCONTI ALEX box in mcc num.024/a; isolato:003; accesso: accesso interno; (z.d. 8)";VIA;VISCONTI ALEX;;7529;8;653;88;741
"alimentare;non alimentare";;"VLE CASSALA N. 15 ; isolato:059; accesso: accesso esterno; (z.d. 6)";VLE;CASSALA;15;5275;6;385;;385
"alimentare;non alimentare";;"VLE GIOVANNI DA CERMENATE N. 62 ; isolato:023; (z.d. 5)";VLE;GIOVANNI DA CERMENATE;62;5261;5;1130;;1952
"alimentare;non alimentare";;"VLE MOLISE N. 56 ; isolato:089; accesso: accesso esterno; (z.d. 4)";VLE;MOLISE;56;3178;4;1000;;1000
"alimentare;non alimentare";;VLE SUZZANI GIOVANNI N. 221 (z.d. 9);VLE;SUZZANI GIOVANNI;221;1446;9;2500;;5234
"alimentare;non alimentare";acquazzurra;"VIA RUTILIA num.010/8; isolato:001; accesso: accesso interno; (z.d. 5)";VIA;MARCO D'AGRATE;8;4276;5;355;;450
"alimentare;non alimentare";benetton;"CSO BUENOS AIRES N. 19 aff. a tempo indeterminato; isolato:078; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;19;2129;3;2351;;2700
"alimentare;non alimentare";blockbuster;"VIA BOLZANO N. 1 ; isolato:307; accesso: accesso esterno; (z.d. 2)";VIA;BOLZANO;1;2312;2;492;;510
"alimentare;non alimentare";blockbuster;"VIA BOSCOVICH RUGGERO N. 49 ; isolato:074; accesso: accesso esterno; (z.d. 3)";VIA;BOSCOVICH RUGGERO;49;2131;3;293;;376
"alimentare;non alimentare";blockbuster;"VIA CARONCINI ALBERTO N. 6 ; isolato:147; accesso: accesso esterno; (z.d. 4)";VIA;CARONCINI ALBERTO;6;4093;4;400;;527
"alimentare;non alimentare";blockbuster;"VIA SAN SIRO N. 3 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA;SAN SIRO;3;6282;7;300;;322
"alimentare;non alimentare";blockbuster;"VLE MARCHE N. 63 ; isolato:165; accesso: accesso esterno; (z.d. 9)";VLE;MARCHE;63;1360;9;350;;380
"alimentare;non alimentare";blockbuster;"VLE MISURATA N. 18 ; isolato:083; accesso: accesso esterno; (z.d. 6)";VLE;MISURATA;18;6123;6;300;;398
"alimentare;non alimentare";blockbuster;"VLE PAPINIANO N. 16 ; isolato:282; accesso: accesso esterno; (z.d. 1)";VLE;PAPINIANO;16;5097;1;450;;535
"alimentare;non alimentare";blockbuster;"VLE PICENO N. 19 ; isolato:030; accesso: accesso esterno; (z.d. 4)";VLE;PICENO;19;3114;4;400;;415
"alimentare;non alimentare";blockbuster;"VLE SABOTINO N. 15 ; isolato:092; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;15;4046;5;400;;480
"alimentare;non alimentare";botanic;"VIA GROSOTTO N. 9 ex area portello edificio 3; isolato:249; accesso: accesso esterno; (z.d. 8)";VIA;GROSOTTO;9;7328;8;1400;;1636
"alimentare;non alimentare";carrefour;"CSO DI PORTA VIGENTINA N. 36 ; isolato:119; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VIGENTINA;36;4026;1;300;;389
"alimentare;non alimentare";carrefour;"CSO LODI num.098; accesso: accesso esterno; (z.d. 4)";VIA;MURATORI LODOVICO;27;4076;4;2100;;3202
"alimentare;non alimentare";carrefour;"CSO VERCELLI N. 20 ; isolato:216; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;20;6193;7;300;;388
"alimentare;non alimentare";carrefour;"PLE PRINCIPESSA CLOTILDE num.010/a; isolato:333; accesso: accesso esterno; (z.d. 9)";VIA;MAFFUCCI ANGIOLO;4;1276;9;600;;1070
"alimentare;non alimentare";carrefour;"PLE SIENA N. 18 ; isolato:199; accesso: accesso esterno; (z.d. 7)";PLE;SIENA;18;6616;7;1040;;2045
"alimentare;non alimentare";carrefour;"PZA ANGILBERTO II N. 9 ; isolato:121; accesso: accesso esterno; (z.d. 5)";PZA;ANGILBERTO II;9;4278;5;950;;1595
"alimentare;non alimentare";carrefour;"VIA AMPERE ANDREA MARIA N. 103 ; isolato:011; accesso: accesso esterno; (z.d. 3)";VIA;AMPERE ANDREA MARIA;103;2428;3;360;;423
"alimentare;non alimentare";carrefour;"VIA DELLA MOSCOVA N. 30 ; isolato:009; accesso: accesso esterno; (z.d. 1)";VIA;DELLA MOSCOVA;30;1016;1;454;;612
"alimentare;non alimentare";carrefour;"VIA DOLCI CARLO N. 8 ; isolato:255; accesso: accesso esterno; (z.d. 7)";VIA;DOLCI CARLO;8;6555;7;308;;444
"alimentare;non alimentare";carrefour;"VIA EDOLO N. 26 ; isolato:146; accesso: accesso esterno; (z.d. 2)";VIA;EDOLO;26;1217;2;380;;459
"alimentare;non alimentare";carrefour;"VIA FALCK ENRICO num.033/p; isolato:013; accesso: accesso esterno; (z.d. 8)";VIA;FALCK ENRICO;;7438;8;380;;400
"alimentare;non alimentare";carrefour;"VIA FARINI CARLO N. 77 ; isolato:153; accesso: accesso esterno; (z.d. 9)";VIA;FARINI CARLO;77;1114;9;1580;;2840
"alimentare;non alimentare";carrefour;"VIA GIANELLA GIUSEPPE N. 21 ; isolato:145; accesso: accesso esterno; (z.d. 7)";VIA;GIANELLA GIUSEPPE;21;6775;7;395;;411
"alimentare;non alimentare";carrefour;"VIA GROSSICH ANTONIO N. 3 ; isolato:079; accesso: accesso esterno; (z.d. 3)";VIA;GROSSICH ANTONIO;3;2576;3;398;;670
"alimentare;non alimentare";carrefour;"VIA INAMA VIRGILIO N. 4 ; isolato:162; accesso: accesso esterno; (z.d. 3)";VIA;INAMA VIRGILIO;4;3169;3;398;;761
"alimentare;non alimentare";carrefour;"VIA LOMAZZO PAOLO N. 41 ; isolato:054; accesso: accesso esterno; (z.d. 8)";VIA;LOMAZZO PAOLO;41;7079;8;395;;467
"alimentare;non alimentare";carrefour;"VIA MAGISTRETTI PIETRO num.007; accesso: accesso esterno; (z.d. 2)";VIA;MAGISTRETTI PIETRO;;2466;2;380;;476
"alimentare;non alimentare";carrefour;"VIA PORPORA NICOLA ANTONIO N. 125 ; isolato:014; accesso: accesso esterno; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;125;2229;3;390;;507
"alimentare;non alimentare";carrefour;"VIA PORRO LAMBERTENGHI LUIGI N. 16 ; isolato:264; accesso: accesso esterno; (z.d. 9)";VIA;PORRO LAMBERTENGHI LUIGI;16;1142;9;300;;386
"alimentare;non alimentare";carrefour;"VIA SAN MARCO N. 26 ; isolato:177; accesso: accesso esterno; (z.d. 1)";VIA;SAN MARCO;26;1036;1;269;95;364
"alimentare;non alimentare";carrefour;"VIA SAN SENATORE N. 16 ;via santa sofia 022; isolato:271; accesso: accesso esterno; (z.d. 1)";VIA;SAN SENATORE;16;404;1;368;;424
"alimentare;non alimentare";carrefour;"VIA SARPI FRA' PAOLO N. 33 ; isolato:113; accesso: accesso esterno; (z.d. 1)";VIA;SARPI FRA' PAOLO;33;7210;1;2442;;4898
"alimentare;non alimentare";carrefour;"VIA SISMONDI GIANCARLO N. 35 ; isolato:218; accesso: accesso esterno; (z.d. 4)";VIA;SISMONDI GIANCARLO;35;3256;4;398;;800
"alimentare;non alimentare";carrefour;"VIA SODERINI LUIGI N. 48 ; isolato:070; accesso: accesso esterno; (z.d. 6)";VIA;SODERINI LUIGI;48;6675;6;1308;;2110
"alimentare;non alimentare";carrefour;"VIA SPINOZA BENEDETTO N. 4 ; isolato:098; accesso: accesso esterno; (z.d. 3)";VIA;SPINOZA BENEDETTO;4;2205;3;957;;1955
"alimentare;non alimentare";carrefour;"VIA TEANO N. 6 ; isolato:006; accesso: accesso esterno; (z.d. 9)";VIA;TEANO;6;1632;9;390;;444
"alimentare;non alimentare";carrefour;"VIA VOLTRI N. 8 ; isolato:231; accesso: accesso esterno; (z.d. 6)";VIA;VOLTRI;8;5354;6;292;;422
"alimentare;non alimentare";carrefour;"VLE ABRUZZI N. 54 ; isolato:065; accesso: accesso esterno; (z.d. 3)";VLE;ABRUZZI;54;2177;3;370;;413
"alimentare;non alimentare";carrefour;"VLE FAMAGOSTA N. 16 ; isolato:076; accesso: accesso esterno; (z.d. 6)";VLE;FAMAGOSTA;16;5353;6;980;;1785
"alimentare;non alimentare";carrefour;"VLE TESTI FULVIO N. 90 ang. santa marcellina n. 8; isolato:145; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;90;1441;9;1008;;1530
"alimentare;non alimentare";centro botanico;"VIA CORRENTI CESARE N. 10 ;via correnti cesare 010; isolato:281; accesso: accesso esterno; (z.d. 1)";VIA;CORRENTI CESARE;10;555;1;489;;646
"alimentare;non alimentare";centro sposi paradiso;"VIA COSTA ANDREA N. 1 ; isolato:358; accesso: accesso esterno; (z.d. 2)";VIA;COSTA ANDREA;1;2276;2;305;;305
"alimentare;non alimentare";cityper sma;"VIA MARIANI POMPEO N. 2 ; isolato:120; accesso: accesso esterno; (z.d. 2)";VIA;MARIANI POMPEO;2;2490;2;2495;;2495
"alimentare;non alimentare";coin;"CSO VERCELLI num.030; isolato:216; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;;6193;7;3500;1300;5880
"alimentare;non alimentare";coin;"PLE CANTORE ANTONIO N. 12 ; isolato:040; accesso: accesso esterno; (z.d. 6)";PLE;CANTORE ANTONIO;12;5103;6;3470;;4755
"alimentare;non alimentare";coin;"PLE LORETO num.016; isolato:357; accesso: accesso esterno; (z.d. 3)";PLE;LORETO;;2264;2;1910;1100;3684
"alimentare;non alimentare";conad;"PLE BOLOGNA N. 7 ; isolato:005; accesso: accesso esterno; (z.d. 4)";PLE;BOLOGNA;7;4172;4;670;;1315
"alimentare;non alimentare";conad;"VIA BOVISASCA int.centro commerciale num.173; accesso: accesso interno; (z.d. 9)";PLE;BAIAMONTI ANTONIO;4;7235;9;1166;;1166
"alimentare;non alimentare";conad;"VIA CEFALONIA N. 10 ; isolato:146; accesso: accesso esterno; (z.d. 8)";VIA;CEFALONIA;10;7439;8;808;;1269
"alimentare;non alimentare";conad;"VIA GONIN FRANCESCO N. 71 ; isolato:155; accesso: accesso esterno; (z.d. 6)";VIA;GONIN FRANCESCO;71;5376;6;800;;1292
"alimentare;non alimentare";conad;"VIA ROSSI PELLEGRINO N. 80 ; isolato:183; accesso: accesso esterno; (z.d. 9)";VIA;ROSSI PELLEGRINO;80;1510;9;360;;680
"alimentare;non alimentare";conad;"VLE MONZA num.289/2; isolato:120; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;87;2258;2;680;;1190
"alimentare;non alimentare";coop;"VIA FREIKOFEL N. 2 ; isolato:088; accesso: accesso esterno; (z.d. 4)";VIA;FREIKOFEL;2;4367;4;654;;654
"alimentare;non alimentare";coop;"VIA ORNATO LUIGI N. 28 ; isolato:070; accesso: accesso esterno; (z.d. 9)";VIA;ORNATO LUIGI;28;1591;9;1200;;1200
"alimentare;non alimentare";crai;"VLE BLIGNY N. 54 ; isolato:108; accesso: accesso esterno; (z.d. 5)";VLE;BLIGNY;54;4045;5;280;;280
"alimentare;non alimentare";decathlon;"FOR BUONAPARTE N. 74 ;for buonaparte 074; isolato:240; accesso: accesso esterno; (z.d. 1)";FOR;BUONAPARTE;74;711;1;2850;;4200
"alimentare;non alimentare";dico;"VIA BASSI UGO num.001/b  1c; isolato:257; accesso: accesso esterno; (z.d. 9)";VIA;BASSI UGO;;1143;9;600;;600
"alimentare;non alimentare";di perdi;"VIA DARWIN CARLO ROBERTO N. 2 ; isolato:081; accesso: accesso esterno; (z.d. 6)";VIA;DARWIN CARLO ROBERTO;2;5238;6;390;;518
"alimentare;non alimentare";di  per di;"LGO SCALABRINI GIOVANNI BATTISTA N. 1 ; isolato:142; accesso: accesso esterno; (z.d. 6)";LGO;SCALABRINI GIOVANNI BATTISTA;1;5392;6;320;;680
"alimentare;non alimentare";di  per di;"VIA OLGETTINA N. 60 interno osp. san raffaele; isolato:004; accesso: accesso interno; (z.d. 3)";VIA;OLGETTINA;60;2530;3;317;;495
"alimentare;non alimentare";di per di;"VIA CASATI FELICE N. 32 ; isolato:096; accesso: accesso esterno; (z.d. 2)";VIA;CASATI FELICE;32;2122;2;310;;379
"alimentare;non alimentare";di per di;"VIA CONCA DEL NAVIGLIO N. 37 ; isolato:128; accesso: accesso esterno; (z.d. 1)";VIA;CONCA DEL NAVIGLIO;37;5180;1;440;;513
"alimentare;non alimentare";di per di;"VIA DELLE ORCHIDEE N. 4 interno superspacci alimentari; isolato:035; accesso: accesso esterno; (z.d. 6)";VIA;DELLE ORCHIDEE;4;6717;6;280;;520
"alimentare;non alimentare";di per di;"VIA PARAVIA PIER ALESSANDRO N. 77 ; isolato:241; accesso: accesso esterno; (z.d. 7)";VIA;PARAVIA PIER ALESSANDRO;77;6571;7;382;;556
"alimentare;non alimentare";di per di;"VLE GIOVANNI DA CERMENATE N. 27 ; isolato:010; accesso: accesso esterno; (z.d. 5)";VLE;GIOVANNI DA CERMENATE;27;5261;5;278;;366
"alimentare;non alimentare";discount;"VIA ZOCCHI CESARE N. 1 ; isolato:025; accesso: accesso esterno; (z.d. 9)";VIA;ZOCCHI CESARE;1;1301;9;300;;450
"alimentare;non alimentare";di  x di;"VIA BERTANI AGOSTINO N. 2 ; isolato:135; accesso: accesso esterno; (z.d. 1)";VIA;BERTANI AGOSTINO;2;7112;1;260;;365
"alimentare;non alimentare";di x di il supermercato;"VIA GIOVANNI DA PROCIDA num.018; isolato:099; accesso: accesso esterno; (z.d. 8)";VIA;VILLAPIZZONE;;7272;8;470;;665
"alimentare;non alimentare";dugan;"VIA SERLIO SEBASTIANO num.008/2; isolato:027; accesso: accesso esterno; (z.d. 4)";VIA;PIRANESI GIOVANNI BATTISTA;4;3263;4;312;;528
"alimentare;non alimentare";ecom;"CSO LODI N. 65 ; isolato:023; accesso: accesso esterno; (z.d. 4)";CSO;LODI;65;4068;4;600;;900
"alimentare;non alimentare";esselunga;"VIA BERGAMO N. 10 ; isolato:112; accesso: accesso esterno; (z.d. 4)";VIA;BERGAMO;10;3189;4;1200;;1312
"alimentare;non alimentare";esselunga;"VIA CAGLIERO GIOVANNI num.014/a; isolato:123; accesso: accesso esterno; (z.d. 2)";VIA;CAGLIERO GIOVANNI;;1407;2;1018;;1284
"alimentare;non alimentare";esselunga;"VIA DE ANGELI CARLO N. 1 ex v. pompeo leoni 18 pru 1.1; accesso: accesso interno; (z.d. 5)";VIA;DE ANGELI CARLO;1;4326;5;4649;;6269
"alimentare;non alimentare";esselunga;"VIA DELLE FORZE ARMATE N. 199 ; isolato:181; accesso: accesso esterno; (z.d. 7)";VIA;DELLE FORZE ARMATE;199;6643;7;1400;508;1908
"alimentare;non alimentare";esselunga;"VIA FELTRE num.038; isolato:073; accesso: accesso esterno; (z.d. 3)";VIA;HAYEZ FRANCESCO;14;2172;3;1700;;1700
"alimentare;non alimentare";esselunga;"VIA ISOTTA CESARE N. 7 ; isolato:077; accesso: accesso esterno; (z.d. 5)";VIA;ISOTTA CESARE;7;4354;5;2900;;2900
"alimentare;non alimentare";esselunga;"VIA MAC MAHON N. 128 ; isolato:269; accesso: accesso esterno; (z.d. 8)";VIA;MAC MAHON;128;7221;8;1200;676;1876
"alimentare;non alimentare";esselunga;"VIA MORGANTINI MARIO N. 15 ; isolato:280; accesso: accesso esterno; (z.d. 7)";VIA;MORGANTINI MARIO;15;6568;7;1060;594;1654
"alimentare;non alimentare";esselunga;"VIA NOVARA N. 86 ; isolato:129; accesso: accesso esterno; (z.d. 7)";VIA;NOVARA;86;6624;7;2490;;3976
"alimentare;non alimentare";esselunga;VIA PALIZZI FILIPPO N. 69 (z.d. 8);VIA;PALIZZI FILIPPO;69;7451;8;5040;;6913
"alimentare;non alimentare";esselunga;"VIA PEZZOTTI GIOVANNI num.000; isolato:017; accesso: accesso esterno; (z.d. 5)";VIA;PEZZOTTI GIOVANNI;;5244;5;1490;;1490
"alimentare;non alimentare";esselunga;"VIA PITTERI RICCARDO p.r.u. 8.1 pitteri-rubatino num.084; isolato:134; accesso: accesso esterno; (z.d. 3)";VIA;FELTRE;30;2652;3;3800;;6050
"alimentare;non alimentare";esselunga;"VLE CASSALA N. 22 ; isolato:154; accesso: accesso esterno; (z.d. 6)";VLE;CASSALA;22;5275;6;1191;;1191
"alimentare;non alimentare";esselunga;"VLE PAPINIANO N. 27 ; isolato:064; accesso: accesso esterno; (z.d. 1)";VLE;PAPINIANO;27;5097;1;1400;996;2396
"alimentare;non alimentare";esselunga;"VLE PIAVE N. 38 ; isolato:151; accesso: accesso esterno; (z.d. 3)";VLE;PIAVE;38;2179;3;1400;;1822
"alimentare;non alimentare";esselunga;"VLE ZARA N. 123 ; isolato:082; accesso: accesso esterno; (z.d. 9)";VLE;ZARA;123;1170;9;1700;;1700
"alimentare;non alimentare";esselunga centro commerci;"VIA LORENTEGGIO N. 219 giordani 7 (pru 3.6); accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;219;5132;6;4670;;7997
"alimentare;non alimentare";esselunga spa.;"VLE UMBRIA N. 28 ; isolato:179; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;28;3145;4;2500;;4307
"alimentare;non alimentare";esselunga vle certosa;"VLE CERTOSA N. 59 ; isolato:315; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;59;7174;8;1144;;1530
"alimentare;non alimentare";esselunga vle jenner;"VIA LEGNONE N. 3 ; isolato:087; accesso: accesso esterno; (z.d. 9)";VIA;LEGNONE;3;1298;9;1920;;1920
"alimentare;non alimentare";euro discount;"VIA CASATI FELICE N. 8 aff. az. tacit. rinnov.; isolato:075; accesso: accesso esterno; (z.d. 3)";VIA;CASATI FELICE;8;2122;3;390;;500
"alimentare;non alimentare";filzi market;"VIA FILZI FABIO N. 8 interno superspacci alimentari; isolato:310; accesso: accesso esterno; (z.d. 2)";VIA;FILZI FABIO;8;1190;2;400;;546
"alimentare;non alimentare";fnac e standa superfresco;"VIA DELLA PALLA N. 2 ;via torino 047; isolato:427; accesso: accesso esterno; (z.d. 1)";VIA;DELLA PALLA;2;586;1;4720;;4720
"alimentare;non alimentare";free shop;"ff central codvia 9401 num.000 ; accesso: accesso interno; (z.d. 2)";VIA;DEI TRANSITI;20;2284;2;577;;577
"alimentare;non alimentare";gs;"VIA MODENA GUSTAVO num.008/10; isolato:168; accesso: accesso esterno; (z.d. 3)";VIA;MODENA GUSTAVO;;3122;3;1050;;2212
"alimentare;non alimentare";gs;"VIA RISMONDO FRANCESCO num.008; isolato:138; accesso: area ap.rec.; (z.d. 7)";VIA;RISMONDO FRANCESCO;;6756;7;939;;1950
"alimentare;non alimentare";gs;"VLE ABRUZZI num.010; accesso: accesso esterno; (z.d. 3)";VLE;ABRUZZI;;2177;3;800;;1400
"alimentare;non alimentare";gs;"VLE MONZA N. 134 ; isolato:178; accesso: area ap.rec.; (z.d. 2)";VLE;MONZA;134;2274;2;1300;;2240
"alimentare;non alimentare";gs supermercato;"VIA MAESTRI CAMPIONESI N. 7 ; isolato:072; accesso: accesso esterno; (z.d. 4)";VIA;MAESTRI CAMPIONESI;7;3197;4;1416;22;2852
